#{"t_start": 1736528470.7258098, "env_id": "footsteps-planning-any-withball-v0"}
r,l,t
-55.195672,50,329.565156
-54.779194,50,330.571205
-53.404354,50,331.561196
-53.938771,50,332.521757
-54.611512,50,333.650168
-53.182747,50,334.679456
-52.161063,50,335.622715
-55.871191,50,336.582824
-54.942996,50,337.515864
-53.921035,50,338.522006
-57.63684,50,339.486983
-55.16701,50,340.445482
-52.640189,50,341.401549
-52.607764,50,342.408999
-52.585227,50,343.368505
-56.594598,50,344.356548
-52.774594,50,345.325068
-55.751996,50,346.443393
-55.782845,50,347.415354
-55.618469,50,348.402725
-52.547667,50,349.364601
-52.559443,50,350.330124
-55.137329,50,351.297217
-52.059723,50,352.244115
-55.54929,50,353.194234
-52.830943,50,354.569889
-52.519616,50,355.915869
-53.37346,50,357.265471
-55.997601,50,359.280527
-59.1951,50,360.372418
-54.124451,50,361.46665
-54.129429,50,362.525289
-53.581891,50,363.509608
-87.482779,50,364.519474
-56.550676,50,365.601605
-55.106103,50,366.770775
-52.307171,50,368.087697
-53.800544,50,369.666759
-55.384251,50,370.829815
-55.552447,50,372.016816
-53.398158,50,373.168587
-55.047492,50,374.280497
-53.048295,50,375.472756
-54.874216,50,376.542192
-55.575589,50,377.633857
-55.483429,50,378.681527
-55.36334,50,379.722237
-53.730511,50,380.782894
-54.27688,50,381.797768
-54.807474,50,382.882828
-54.724585,50,383.93557
-55.373098,50,384.953472
-55.969904,50,386.01751
-54.746418,50,387.100386
-52.838213,50,388.145916
-55.062041,50,389.182394
-53.772999,50,390.195757
-56.646404,50,391.24075
-54.929528,50,392.298079
-54.422673,50,393.350384
-53.553304,50,394.360757
-56.590574,50,395.397637
-83.402681,50,396.411744
-53.975781,50,397.466766
-56.511802,50,398.498781
-53.585084,50,399.513681
-57.338953,50,400.5171
-53.232611,50,401.54897
-55.036914,50,402.617515
-55.880018,50,403.622896
-53.339865,50,404.630854
-55.061727,50,405.621964
-53.786866,50,406.643938
-54.42709,50,407.73078
-53.124972,50,408.740225
-56.267209,50,409.744678
-56.97686,50,410.759805
-53.845937,50,411.800584
-53.980295,50,412.851454
-57.915764,50,413.87569
-58.343893,50,414.887883
-54.810788,50,415.897437
-52.841916,50,416.895417
-51.592648,50,418.392019
-55.845618,50,419.443155
-55.582753,50,420.474566
-53.967374,50,421.483861
-53.905037,50,422.506342
-54.725933,50,423.570826
-54.100253,50,424.582578
-54.444272,50,425.748198
-55.916906,50,426.795672
-51.882254,50,427.842724
-55.437753,50,428.851477
-55.195218,50,429.883873
-53.557051,50,430.938834
-53.733132,50,431.946689
-54.983852,50,432.95904
-56.734924,50,433.972134
-55.223483,50,434.952267
-56.527529,50,435.895809
-52.015132,50,436.886412
-56.394976,50,437.89239
-55.119723,50,438.875258
-82.919699,50,439.852732
-51.401527,50,440.815721
-52.616174,50,441.777312
-55.017217,50,442.751723
-52.929834,50,443.731711
-56.878927,50,444.671767
-56.894303,50,445.649328
-56.94424,50,446.814044
-56.661704,50,447.763232
-53.367004,50,448.702296
-55.841905,50,449.65027
-52.666698,50,450.665336
-54.761732,50,451.663063
-54.965251,50,452.609624
-52.68679,50,453.558928
